passenger_count|year|count
0|2008|15
1|2008|17058
2|2008|9777
3|2008|3092
4|2008|2398
5|2008|36
0|2009|1111
1|2009|116064032
2|2009|27540455
3|2009|7862571
4|2009|3830212
5|2009|14891035
6|2009|734581
7|2009|7
8|2009|2
9|2009|1
13|2009|1
17|2009|1
38|2009|1
53|2009|1
65|2009|1
69|2009|1
84|2009|1
113|2009|1
129|2009|3
134|2009|1
155|2009|1
158|2009|1
164|2009|1
165|2009|1
208|2009|646
213|2009|4
255|2009|5
0|2010|35813
1|2010|115759439
2|2010|26784776
3|2010|7707663
4|2010|3768310
5|2010|14211927
6|2010|690382
7|2010|4
8|2010|1
9|2010|3
10|2010|3
15|2010|1
25|2010|1
34|2010|1
51|2010|1
58|2010|1
65|2010|1
91|2010|1
125|2010|1
133|2010|1
137|2010|1
141|2010|1
160|2010|1
163|2010|1
169|2010|1
208|2010|603
229|2010|1
232|2010|1
250|2010|2
255|2010|2
0|2011|2549247
1|2011|119980123
2|2011|27136634
3|2011|8016400
4|2011|3820898
5|2011|13876088
6|2011|1536489
7|2011|8
8|2011|2
9|2011|8
10|2011|13
15|2011|1
19|2011|1
33|2011|2
36|2011|1
37|2011|1
47|2011|1
49|2011|26
58|2011|1
61|2011|1
70|2011|1
97|2011|1
129|2011|3
193|2011|1
208|2011|125
211|2011|1
223|2011|1
225|2011|1
250|2011|1
255|2011|1
0|2012|1273376
1|2012|123983369
2|2012|24907479
3|2012|7719106
4|2012|3753557
5|2012|12069258
6|2012|4883518
7|2012|17
8|2012|13
9|2012|25
10|2012|1
65|2012|1
66|2012|1
177|2012|1
208|2012|107
247|2012|1
249|2012|1
254|2012|1
0|2013|5476
1|2013|122928281
2|2013|23612204
3|2013|7344128
4|2013|3593639
5|2013|10139500
6|2013|6780111
7|2013|65
8|2013|43
9|2013|43
129|2013|1
208|2013|13
255|2013|2
0|2014|4544188
1|2014|129388449
2|2014|24214929
3|2014|7346250
4|2014|3511322
5|2014|10054899
6|2014|6394879
7|2014|504
8|2014|464
9|2014|210
208|2014|21
0|2015|46942
1|2015|119146422
2|2015|22348085
3|2015|6579758
4|2015|3105455
5|2015|8690687
6|2015|5421541
7|2015|599
8|2015|670
9|2015|311
0|2016|14091
1|2016|56826768
2|2016|10651456
3|2016|3043531
4|2016|1407713
5|2016|3994434
6|2016|2418571
7|2016|379
8|2016|366
9|2016|183
